"","participant_number","version","family_languages.1","english_first_language","eng_first_language_and_other","eng_not_first_language","age","gender","years_studying_spanish","current_class","university","other_language_study","other_languages","prompt","rating","question_type"
"120",4,1,"KR",2,"","KR",23,1,0,1,"UW",1,"JP, CH","acceptable_mo2lingualism",3,NA
"121",4,1,"KR",2,"","KR",23,1,0,1,"UW",1,"JP, CH","learn_2t_abroad",3,NA
"122",4,1,"KR",2,"","KR",23,1,0,1,"UW",1,"JP, CH","multilingualism_asset",1,"directly_affected_questions"
"123",4,1,"KR",2,"","KR",23,1,0,1,"UW",1,"JP, CH","schools_teach",3,"directly_affected_questions"
"124",4,1,"KR",2,"","KR",23,1,0,1,"UW",1,"JP, CH","connect_with_people",1,"directly_affected_questions"
"125",4,1,"KR",2,"","KR",23,1,0,1,"UW",1,"JP, CH","future_career",3,"directly_affected_questions"
"126",4,1,"KR",2,"","KR",23,1,0,1,"UW",1,"JP, CH","effort",1,"directly_affected_questions"
"127",4,1,"KR",2,"","KR",23,1,0,1,"UW",1,"JP, CH","become_bilingual.1",1,NA
"128",4,1,"KR",2,"","KR",23,1,0,1,"UW",1,"JP, CH","family_languages",1,NA
"129",5,1,"KR",2,"","KR",37,2,0,1,"UW",1,"Japanese","fun_studying_languages",4,"semi_affected_questions"
"130",5,1,"KR",2,"","KR",37,2,0,1,"UW",1,"Japanese","boring_spanish_class",5,"semi_affected_questions"
"131",5,1,"KR",2,"","KR",37,2,0,1,"UW",1,"Japanese","interesting_spanish_cultures",3,"semi_affected_questions"
"132",5,1,"KR",2,"","KR",37,2,0,1,"UW",1,"Japanese","interesting_studying_languages",5,"semi_affected_questions"
"133",5,1,"KR",2,"","KR",37,2,0,1,"UW",1,"Japanese","difficult_classroom_learning",5,"least_affected_questions"
"134",5,1,"KR",2,"","KR",37,2,0,1,"UW",1,"Japanese","valuable",4,"most_interested_qs"
"135",5,1,"KR",2,"","KR",37,2,0,1,"UW",1,"Japanese","no_accent",4,"most_interested_qs"
"136",5,1,"KR",2,"","KR",37,2,0,1,"UW",1,"Japanese","important_spanish",4,"most_interested_qs"
"137",5,1,"KR",2,"","KR",37,2,0,1,"UW",1,"Japanese","beautiful",2,"semi_affected_questions"
"138",5,1,"KR",2,"","KR",37,2,0,1,"UW",1,"Japanese","codeswitch_rude",5,"most_interested_qs"
"139",5,1,"KR",2,"","KR",37,2,0,1,"UW",1,"Japanese","smarter_two_languages",4,"semi_affected_questions"
"140",5,1,"KR",2,"","KR",37,2,0,1,"UW",1,"Japanese","started_younger",5,"semi_affected_questions"
"141",5,1,"KR",2,"","KR",37,2,0,1,"UW",1,"Japanese","become_bilingual",5,"directly_affected_questions"
"142",5,1,"KR",2,"","KR",37,2,0,1,"UW",1,"Japanese","admire_multilinguals",4,"semi_affected_questions"
"143",5,1,"KR",2,"","KR",37,2,0,1,"UW",1,"Japanese","like_langauges",4,"semi_affected_questions"
"144",5,1,"KR",2,"","KR",37,2,0,1,"UW",1,"Japanese","interest_languages",5,"semi_affected_questions"
"145",5,1,"KR",2,"","KR",37,2,0,1,"UW",1,"Japanese","like_spanish",4,"semi_affected_questions"
"146",5,1,"KR",2,"","KR",37,2,0,1,"UW",1,"Japanese","like_hearing_spanish",2,"semi_affected_questions"
"147",5,1,"KR",2,"","KR",37,2,0,1,"UW",1,"Japanese","communicating_spanish_speakers",4,"semi_affected_questions"
"148",5,1,"KR",2,"","KR",37,2,0,1,"UW",1,"Japanese","excited_spanish_class",4,"least_affected_questions"
"149",5,1,"KR",2,"","KR",37,2,0,1,"UW",1,"Japanese","outside_engagement",2,"least_affected_questions"
"150",5,1,"KR",2,"","KR",37,2,0,1,"UW",1,"Japanese","spanish_favorite_class",4,"least_affected_questions"
"151",5,1,"KR",2,"","KR",37,2,0,1,"UW",1,"Japanese","worldview",1,"semi_affected_questions"
"152",5,1,"KR",2,"","KR",37,2,0,1,"UW",1,"Japanese","acceptable_mo2lingualism",2,NA
